SID,DAY,OPENINGTIME,CLOSINGTIME
67,1,00:00,23:59
67,3,5:00,23:59
67,4,00:00,3:45
67,2,11:00,23:59
67,3,00:00,2:45
67,5,11:00,23:59
67,6,00:00,2:45
67,4,13:45,23:59
67,5,00:00,12:45
67,6,13:45,20:45
68,6,16:15,21:30
68,1,10:30,11:45
68,2,10:15,12:00
68,3,10:15,12:00
68,4,10:15,21:45
68,5,17:00,18:00
69,0,13:30,23:30
69,1,11:15,22:45
69,2,6:15,12:30
69,4,6:15,12:30
69,3,15:00,18:00
69,5,15:00,18:00
69,6,11:30,13:15
70,0,15:00,23:59
70,1,00:00,2:00
70,1,15:00,23:59
70,2,00:00,2:00
70,2,14:00,23:15
70,3,14:00,23:15
70,4,5:15,7:00
70,5,5:15,7:00
70,6,7:45,21:30
71,0,10:00,12:15
71,1,15:15,16:15
71,2,7:45,14:00
71,3,16:30,23:59
71,4,00:00,2:00
71,4,16:30,23:59
71,5,00:00,2:00
71,5,8:15,23:59
71,6,00:00,1:30
71,6,12:15,22:15
72,0,10:45,11:00
72,1,10:45,11:00
72,3,12:15,23:59
72,4,00:00,1:45
72,4,11:30,23:00
73,0,00:00,23:59
73,1,00:00,23:59
73,3,7:45,12:45
73,2,10:30,12:00
73,4,9:15,17:15
73,5,8:00,11:30
73,6,15:00,23:59
73,0,00:00,12:30
74,0,00:00,23:59
74,3,13:00,18:15
74,1,10:30,13:15
74,2,6:45,7:45
74,4,13:15,16:30
74,5,13:15,16:30
74,6,13:15,20:30
75,0,00:00,23:59
75,2,16:30,22:30
75,1,7:15,13:00
75,6,7:15,13:00
75,3,16:45,20:30
75,4,17:45,23:59
75,5,00:00,1:00
75,5,14:45,23:59
75,6,00:00,1:00
76,0,00:00,23:59
76,4,11:45,23:15
76,1,14:30,23:59
76,2,00:00,12:15
76,2,16:30,23:59
76,3,00:00,12:45
76,3,5:15,23:59
76,4,00:00,2:45
76,5,5:15,23:59
76,6,00:00,2:45
76,6,8:45,18:00
77,0,12:30,14:00
77,1,17:30,23:59
77,2,00:00,2:00
77,2,9:45,15:30
77,6,9:45,15:30
77,3,7:15,23:59
77,4,00:00,3:00
77,4,11:15,14:15
77,5,13:30,20:45
78,0,10:00,21:45
78,1,11:30,12:30
78,2,16:00,20:45
78,3,13:15,14:15
78,4,10:30,15:45
78,5,11:30,13:45
78,6,7:15,15:00
79,0,11:30,16:00
79,1,11:30,16:00
79,2,11:00,23:59
79,3,00:00,2:00
79,3,11:45,15:00
79,4,14:15,23:59
79,5,00:00,2:15
79,5,17:45,20:30
79,6,9:15,21:30
80,0,10:00,11:00
80,3,12:45,17:15
80,5,9:00,14:30
80,6,17:30,23:59
80,0,00:00,3:00
81,0,00:00,23:59
81,1,00:00,23:59
81,3,15:30,19:00
81,4,15:00,23:59
81,5,00:00,12:00
82,0,00:00,23:59
82,2,16:00,23:59
82,3,00:00,3:00
82,1,15:15,23:59
82,2,00:00,12:45
82,6,15:15,23:59
82,0,00:00,12:45
82,3,8:45,9:00
82,4,9:30,23:59
82,5,00:00,2:15
82,5,17:15,23:59
82,6,00:00,2:30
83,0,6:30,23:59
83,1,00:00,3:15
83,1,9:30,11:00
83,3,9:30,11:00
83,6,9:30,19:30
84,0,10:15,19:30
84,1,14:15,22:00
84,2,11:45,13:15
84,3,9:00,12:30
84,4,5:00,12:15
84,5,5:00,12:15
84,6,6:15,23:59
84,0,00:00,2:30
85,0,00:00,23:59
85,2,00:00,23:59
85,4,17:45,23:59
85,5,00:00,1:45
85,1,7:15,13:15
85,3,11:00,23:59
85,4,00:00,1:15
85,5,14:30,15:00
85,6,13:15,22:00
86,6,00:00,23:59
86,2,5:15,7:15
86,1,5:00,8:45
86,3,14:45,23:00
86,4,9:00,19:15
86,5,8:45,23:00
87,0,7:45,11:15
87,1,7:45,11:15
87,3,7:15,14:15
87,4,8:45,23:59
87,5,00:00,1:30
88,0,00:00,23:59
88,3,10:15,19:45
88,1,15:15,22:30
88,6,15:15,22:30
88,2,13:45,16:45
88,4,13:45,16:45
88,5,10:15,12:15
89,0,00:00,23:59
89,2,7:00,15:45
89,3,7:00,15:45
89,1,10:15,14:00
89,4,16:00,23:59
89,5,00:00,2:00
89,6,16:00,23:59
89,0,00:00,2:00
89,5,17:15,23:59
89,6,00:00,12:15
90,6,00:00,23:59
90,0,00:00,23:59
90,1,00:00,23:59
90,4,8:15,10:30
90,3,15:15,23:59
90,4,00:00,12:15
90,5,15:15,19:00
91,0,17:45,23:30
91,1,17:45,23:30
91,2,17:45,23:30
91,3,15:45,18:45
91,4,8:00,16:15
91,5,7:30,10:00
91,6,16:15,23:59
91,0,00:00,1:30
92,0,00:00,23:59
92,5,13:15,21:45
92,1,16:00,18:30
92,2,12:30,22:15
92,3,12:30,22:15
92,4,16:00,23:59
92,5,00:00,2:15
92,6,11:30,20:15
93,0,00:00,23:59
93,3,00:00,23:59
93,5,14:45,22:45
93,1,10:45,23:45
93,2,9:15,13:45
93,4,6:45,21:45
93,6,12:45,22:00
94,0,14:30,23:59
94,1,00:00,3:15
94,1,14:30,23:59
94,2,00:00,3:15
94,2,14:00,23:59
94,3,00:00,3:00
94,3,7:30,12:15
94,6,7:30,12:15
94,4,14:00,23:59
94,5,00:00,2:45
94,5,5:15,23:59
94,6,00:00,3:45
95,0,13:45,19:30
95,1,11:45,13:30
95,3,11:45,13:30
95,2,16:00,21:00
95,4,16:30,21:00
95,5,5:15,8:00
95,6,15:00,19:45
96,0,00:00,23:59
96,3,5:30,17:15
96,1,13:30,21:45
96,2,17:15,22:30
96,6,17:15,22:30
96,4,17:00,23:59
96,5,00:00,2:15
96,5,9:15,23:59
96,6,00:00,1:15
97,0,00:00,23:59
97,4,12:45,15:00
97,1,17:45,18:00
97,2,17:45,18:00
97,3,12:30,23:59
97,4,00:00,1:00
97,5,12:30,23:59
97,6,00:00,3:30
97,6,12:45,19:45
98,0,17:15,18:00
98,1,12:15,20:30
98,2,12:15,20:30
98,5,16:45,18:30
99,0,00:00,23:59
99,3,00:00,23:59
99,5,7:15,20:15
99,1,14:45,17:45
99,2,12:15,14:15
99,4,5:00,10:00
99,6,10:30,12:00
100,0,6:00,22:45
100,1,10:15,14:30
100,2,10:15,14:30
100,3,10:15,14:30
100,4,7:00,22:00
100,5,11:45,23:59
100,6,00:00,2:15
100,6,17:30,18:00
101,0,17:00,23:59
101,1,00:00,12:00
101,3,17:45,23:59
101,4,00:00,1:15
101,4,6:30,20:30
101,6,10:45,14:00
102,0,00:00,23:59
102,5,7:15,19:30
102,1,13:30,16:15
102,2,11:45,20:15
102,3,7:15,14:45
102,4,9:45,23:59
102,5,00:00,1:15
102,6,9:45,23:59
102,0,00:00,1:15
103,0,6:30,11:15
103,1,7:15,15:15
103,3,7:15,15:15
103,2,13:15,19:45
103,5,13:15,19:45
103,4,17:45,19:00
103,6,12:15,23:45
104,0,00:00,23:59
104,1,00:00,23:59
104,3,9:15,22:15
104,2,12:00,14:15
104,4,15:15,17:15
104,5,12:30,23:59
104,6,00:00,12:00
104,6,14:15,17:30
105,0,00:00,23:59
105,5,15:45,22:15
105,3,5:00,16:00
105,6,12:00,16:45
106,6,00:00,23:59
106,0,00:00,23:59
106,3,9:30,10:45
106,2,5:15,16:00
106,4,13:45,17:00
106,5,6:30,16:15
107,0,7:15,9:30
107,1,14:15,23:00
107,2,5:30,6:45
107,3,14:30,19:45
107,4,6:45,10:00
107,5,7:15,23:00
107,6,16:15,22:45
108,0,00:00,23:59
108,2,13:30,22:00
108,1,6:30,23:59
108,2,00:00,2:30
108,3,9:30,21:15
108,4,13:15,20:15
108,5,6:15,15:00
108,6,17:00,19:15
109,6,00:00,23:59
109,3,14:00,23:59
109,4,00:00,3:30
109,1,14:00,18:30
109,2,5:00,15:00
109,4,10:30,21:00
109,5,15:00,23:30
110,0,5:15,16:30
110,1,12:00,18:00
110,6,12:00,18:00
110,2,13:00,15:15
110,3,7:30,23:45
110,4,10:00,22:30
110,5,7:15,15:45
111,0,9:15,14:15
111,1,17:30,21:00
111,3,17:30,21:00
111,2,14:00,23:59
111,3,00:00,1:30
111,4,16:15,23:59
111,5,00:00,1:45
111,5,9:30,20:15
111,6,9:30,20:15
112,4,00:00,23:59
112,0,12:30,22:15
112,3,6:45,7:30
112,5,6:45,7:30
113,0,5:45,23:59
113,1,00:00,1:30
113,1,5:45,11:00
113,2,9:00,15:30
113,4,9:00,15:30
113,3,17:00,18:45
113,6,17:00,18:45
113,5,7:00,15:45
114,0,9:30,15:15
114,1,13:45,17:15
114,4,9:30,23:15
114,5,15:45,19:15
115,0,6:45,14:00
115,1,8:30,23:59
115,2,00:00,3:15
115,2,15:30,23:59
115,3,00:00,2:00
115,3,7:45,8:15
115,4,7:15,14:15
115,5,13:45,23:59
115,6,00:00,2:45
115,6,13:15,21:45
116,0,00:00,23:59
116,3,8:15,10:15
116,2,9:30,12:45
116,4,10:45,23:59
116,5,00:00,3:30
117,0,00:00,23:59
117,4,6:45,23:59
117,5,00:00,3:00
117,1,6:15,15:45
117,2,5:00,23:59
117,3,00:00,2:00
117,3,15:45,23:59
117,4,00:00,2:00
117,5,16:00,23:59
117,6,00:00,12:30
117,6,11:00,12:45
118,0,00:00,23:59
118,3,15:30,23:59
118,4,00:00,1:00
118,2,9:00,14:30
118,4,6:15,10:15
119,0,12:15,23:45
119,1,11:45,12:00
119,2,9:45,13:15
119,3,9:45,13:15
119,4,6:30,23:00
119,5,16:00,18:45
119,6,11:00,15:45
120,0,13:45,17:00
120,1,13:45,17:00
120,2,9:15,20:30
120,3,11:30,21:45
120,4,11:30,21:45
120,5,9:15,17:45
120,6,5:45,7:45
121,0,10:00,19:45
121,1,15:45,17:00
121,2,15:45,17:00
121,3,13:15,19:45
121,4,5:15,16:45
121,5,12:15,21:15
121,6,13:15,20:00
122,0,00:00,23:59
122,2,6:00,11:15
122,1,17:00,20:45
122,3,8:00,20:00
122,5,8:00,20:00
122,4,15:15,23:59
122,5,00:00,1:45
122,6,10:30,12:15
123,3,00:00,23:59
123,0,5:15,21:15
123,1,5:45,6:15
123,5,5:45,6:15
123,2,16:30,22:30
123,4,12:30,14:45
123,6,12:30,14:45
124,0,6:15,13:00
124,1,12:00,17:00
124,2,7:15,13:15
124,3,7:15,8:45
124,4,11:30,23:15
124,5,12:45,20:15
124,6,14:45,23:59
124,0,00:00,3:00
125,0,17:00,23:59
125,1,00:00,12:15
125,1,11:00,21:30
125,2,11:00,21:30
125,3,5:45,10:45
125,4,5:45,10:45
125,5,15:00,21:15
125,6,10:30,14:30
126,0,17:30,18:30
126,3,10:15,22:15
126,6,6:00,15:45
127,0,00:00,23:59
127,4,5:15,6:30
127,1,11:30,13:00
127,2,14:45,23:15
127,3,13:30,18:30
127,6,13:30,18:30
127,5,5:15,16:45
128,0,00:00,23:59
128,1,00:00,23:59
128,5,15:30,19:45
128,2,17:15,23:59
128,3,00:00,12:30
128,3,14:00,15:30
128,4,5:45,22:15
128,6,12:15,22:15
129,0,10:15,23:59
129,1,00:00,3:45
129,1,17:45,23:15
129,2,5:30,10:15
129,3,11:30,23:59
129,4,00:00,3:30
129,4,9:30,16:00
129,6,9:30,16:00
129,5,12:15,23:59
129,6,00:00,3:30
130,0,15:45,23:59
130,1,00:00,3:15
130,1,8:15,19:30
130,2,17:30,19:00
130,3,17:30,19:00
130,4,13:30,23:15
130,5,11:45,18:30
130,6,17:15,19:30
131,0,00:00,23:59
131,1,00:00,23:59
131,3,10:15,21:00
131,2,12:00,14:15
131,4,9:00,18:15
131,6,9:00,18:15
131,5,12:45,23:59
131,6,00:00,1:00
132,0,00:00,23:59
132,3,17:15,23:59
132,4,00:00,12:00
132,4,17:15,23:59
132,5,00:00,12:00
132,1,5:15,17:45
132,2,12:30,15:30
132,5,13:00,23:45
132,6,7:45,16:45
133,0,00:00,23:59
133,4,5:45,16:15
133,1,10:00,23:15
133,5,10:00,23:15
133,2,6:00,8:45
133,3,7:00,17:00
133,6,17:30,18:30
134,0,00:00,23:59
134,2,15:30,18:45
134,1,10:30,15:45
134,3,13:30,16:45
134,4,13:30,16:45
134,5,14:45,15:00
134,6,5:30,14:00
135,0,00:00,23:59
135,1,00:00,23:59
135,3,7:45,15:45
135,2,17:30,23:59
135,3,00:00,3:30
135,6,17:30,23:59
135,0,00:00,3:30
135,4,17:00,23:59
135,5,00:00,1:30
135,5,6:30,14:30
136,0,00:00,23:59
136,2,8:30,23:00
136,1,15:00,22:30
136,3,15:00,22:30
136,4,9:30,16:45
136,5,15:30,21:30
136,6,8:45,22:15
137,0,15:15,23:59
137,1,00:00,3:45
137,1,14:00,15:45
137,2,12:00,19:00
137,3,10:15,19:45
137,4,14:00,19:45
137,5,15:15,23:59
137,6,00:00,12:45
137,6,16:45,23:45
138,0,00:00,23:59
138,4,9:30,12:15
138,1,5:30,17:30
138,6,5:30,17:30
138,2,13:00,21:30
138,3,14:15,22:30
138,5,8:30,18:45
139,0,6:00,16:45
139,1,9:30,19:45
139,5,9:30,19:45
139,2,7:15,12:15
139,3,7:30,8:45
139,6,7:30,8:45
139,4,11:15,21:15
140,0,00:00,23:59
140,2,14:15,23:59
140,3,00:00,3:15
140,1,8:30,19:30
140,3,5:15,7:30
140,4,9:15,23:59
140,5,00:00,2:00
140,5,11:15,18:45
140,6,11:15,18:45
141,0,00:00,23:59
141,5,17:15,23:59
141,6,00:00,2:30
141,1,10:45,23:59
141,2,00:00,3:00
141,2,8:45,22:00
141,3,8:45,22:00
141,4,9:45,23:45
141,6,17:30,19:45
142,0,12:45,23:59
142,1,00:00,12:15
142,1,12:45,23:59
142,2,00:00,12:15
142,2,11:30,19:45
142,5,11:30,19:45
142,3,13:00,23:30
142,6,13:00,23:30
142,4,8:30,12:15
143,0,15:15,22:30
143,1,9:00,13:00
143,4,9:00,13:00
143,2,15:00,23:45
143,3,8:00,11:30
143,5,16:00,19:15
143,6,15:15,23:59
143,0,00:00,12:30
144,0,12:45,13:00
144,1,12:45,13:00
144,2,16:45,17:30
144,3,16:00,17:15
144,5,16:00,17:15
144,4,14:15,18:30
144,6,14:15,23:59
144,0,00:00,12:15
145,0,10:15,13:00
145,1,10:15,13:00
145,2,6:15,19:30
145,3,12:45,22:00
145,4,9:15,23:59
145,5,00:00,1:15
145,5,9:15,23:59
145,6,00:00,1:15
145,6,7:00,16:15
146,0,8:00,23:45
146,1,7:45,19:45
146,2,10:00,12:00
146,3,5:15,17:45
146,4,17:45,23:59
146,5,00:00,2:45
146,5,12:30,18:15
146,6,11:00,17:45
147,0,00:00,23:59
147,1,00:00,23:59
147,5,11:15,23:59
147,6,00:00,1:15
147,2,17:15,23:59
147,3,00:00,1:30
147,3,14:15,16:45
147,6,14:15,16:45
147,4,17:30,23:59
147,5,00:00,2:00
148,0,17:45,20:45
148,1,17:45,20:45
148,2,9:00,11:00
148,5,9:00,11:00
148,3,8:45,11:15
148,4,15:45,20:45
148,6,11:30,23:59
148,0,00:00,1:15
149,0,13:45,23:00
149,2,9:15,16:30
149,3,12:00,14:15
149,4,8:00,23:30
150,0,17:15,20:00
150,1,17:15,20:00
150,2,17:15,20:00
150,3,6:45,10:00
150,4,10:00,20:00
